"filename", "language", "Java", "comment", "blank", "total"
"d:\Java\EP1 OO\src\Aluno.java", "Java", 16, 0, 2, 18
"d:\Java\EP1 OO\src\AlunoEspecial.java", "Java", -16, 0, -1, -17
"d:\Java\EP1 OO\src\Avaliacao.java", "Java", 46, 0, 6, 52
"d:\Java\EP1 OO\src\FormadeAvaliação.java", "Java", -31, 0, -7, -38
"d:\Java\EP1 OO\src\JanelaAluno.java", "Java", 60, 0, 20, 80
"d:\Java\EP1 OO\src\JanelaAvaliacao_Frequencia.java", "Java", 2, 0, 2, 4
"d:\Java\EP1 OO\src\JanelaDisciplina_Turma.java", "Java", 2, 0, 2, 4
"d:\Java\EP1 OO\src\MainTeste.java", "Java", 1, 0, 0, 1
"d:\Java\EP1 OO\src\ModoAluno.java", "Java", 151, 0, 10, 161
"d:\Java\EP1 OO\src\ModoAvaliacao_Frequencia.java", "Java", 44, 0, 8, 52
"d:\Java\EP1 OO\src\ModoDisciplina_Turma.java", "Java", 18, 0, 4, 22
"d:\Java\EP1 OO\src\SistemaAcademico.java", "Java", 91, 0, 25, 116
"d:\Java\EP1 OO\src\Turmas.java", "Java", 6, 0, 0, 6
"Total", "-", 390, 0, 71, 461
